Commodity,Market,Variety,Max_Price,Avg_Price,Min_Price,Last_Updated,Trend,Extra,Fetch_Date
Bitter gourd,Warangal,Bitter Gourd,4000,3750,3500,06 Nov 2025,,For Free Price Alerts,2025-12-03
Grapes,Warangal,Black,5000,5000,5000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Cotton,Warangal,Cotton (Unginned),6920,6300,5000,04 Nov 2025,,For Free Price Alerts,2025-12-03
Guava,Warangal,Guava,3300,3300,3300,05 Nov 2025,,For Free Price Alerts,2025-12-03
Dry Chillies,Warangal,Talu,7000,5000,4500,04 Nov 2025,,For Free Price Alerts,2025-12-03
Dry Chillies,Warangal,3rd Sort,13800,12000,8000,04 Nov 2025,,For Free Price Alerts,2025-12-03
Dry Chillies,Warangal,2nd Sort,14000,12000,8500,04 Nov 2025,,For Free Price Alerts,2025-12-03
Dry Chillies,Warangal,1st Sort,13600,12000,8000,04 Nov 2025,,For Free Price Alerts,2025-12-03
Groundnut,Warangal,Gungri (With Shell),6500,6500,3500,04 Nov 2025,,For Free Price Alerts,2025-12-03
Arhar (Tur/Red Gram)(Whole),Warangal,Local,5909,5909,5256,04 Nov 2025,,For Free Price Alerts,2025-12-03
Pomegranate,Warangal,Pomogranate,13000,13000,13000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Papaya,Warangal,Papaya,2000,2000,2000,05 Nov 2025,,For Free Price Alerts,2025-12-03
Orange,Warangal,Orange,2500,2500,2500,05 Nov 2025,,For Free Price Alerts,2025-12-03
Apple,Warangal,Delicious,9000,9000,9000,04 Nov 2025,,For Free Price Alerts,2025-12-03
Black Gram (Urd Beans)(Whole),Warangal,Local,6602,6602,6602,23 Oct 2025,,For Free Price Alerts,2025-12-02
Bengal Gram(Gram)(Whole),Warangal,Bengal Gram (Split),6052,6052,6052,15 Oct 2025,,For Free Price Alerts,2025-12-02
Banana,Warangal,Banana - Ripe,2700,2700,2700,15 Oct 2025,,For Free Price Alerts,2025-12-02
Grapes,Warangal,White,5000,5000,5000,18 Oct 2025,,For Free Price Alerts,2025-12-02
Sunhemp,Warangal,Sunhemp,10123,10123,10123,23 Oct 2025,,For Free Price Alerts,2025-12-02
Green Gram (Moong)(Whole),Warangal,Local,5350,5350,5153,03 Nov 2025,,For Free Price Alerts,2025-12-02
Pineapple,Warangal,Pine Apple,3000,3000,3000,29 Oct 2025,,For Free Price Alerts,2025-12-02
Cluster beans,Warangal,Cluster Beans,4000,3750,3500,24 Oct 2025,,For Free Price Alerts,2025-12-02
Water Melon,Warangal,Water Melon,2000,2000,2000,29 Oct 2025,,For Free Price Alerts,2025-12-02
Ber(Zizyphus/Borehannu),Warangal,Ber(Zizyphus),1700,1700,1700,29 Oct 2025,,For Free Price Alerts,2025-12-02
Yam (Ratalu),Warangal,Yam (Ratalu),3000,2750,2500,02 Nov 2025,,For Free Price Alerts,2025-12-02
